City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
120,Rio Gallegos,AR,-51.6226,-69.2181,46.45,57,0,28.77,clear sky
121,Umm Kaddadah,SD,13.6017,26.6876,84.54,9,92,9.08,overcast clouds
122,Karimpur,IN,23.9667,88.6167,82.8,73,0,0.89,clear sky
123,Road Town,VG,18.4167,-64.6167,84.24,65,20,13.8,few clouds
124,Chivilcoy,AR,-34.8957,-60.0167,51.49,62,100,7.83,overcast clouds
125,Lorengau,PG,-2.0226,147.2712,79.3,81,100,1.5,overcast clouds
126,Avera,US,33.194,-82.5271,83.71,49,95,10.07,overcast clouds
127,Yatou,CN,37.15,122.3833,54.52,60,0,6.35,clear sky
128,Le Port,RE,-20.9373,55.2919,69.8,68,0,3.8,clear sky
129,Alasehir,TR,38.3508,28.5172,73.96,52,0,3.51,clear sky
130,Aars,DK,56.804,9.5144,54.99,79,100,12.95,overcast clouds
131,Belmonte,BR,-15.8631,-38.8828,75.79,75,7,12.19,clear sky
132,Nemuro,JP,43.3236,145.575,46.38,98,79,9.35,broken clouds
133,Lekoni,GA,-1.5843,14.2591,74.23,86,100,4.74,moderate rain
134,Port Elizabeth,ZA,-33.918,25.5701,62.89,77,20,13.8,few clouds
135,Krasnoselkup,RU,65.7,82.4667,40.12,76,1,9.53,clear sky
136,Cururupu,BR,-1.8283,-44.8683,78.91,87,33,4.88,scattered clouds
137,Jamestown,US,42.097,-79.2353,75.02,54,20,11.01,few clouds
138,Mingshui,CN,36.7167,117.5,58.59,37,96,3.24,overcast clouds
139,Sambava,MG,-14.2667,50.1667,71.22,91,11,6.26,few clouds
140,Lac Du Bonnet,CA,50.2536,-96.0612,66.15,46,100,5.21,overcast clouds
141,Muisne,EC,0.6,-80.0333,78.49,81,72,9.91,broken clouds
142,Pevek,RU,69.7008,170.3133,33.26,91,24,8.5,few clouds
143,Sitka,US,57.0531,-135.33,55.29,54,40,9.22,scattered clouds
144,Kodinsk,RU,58.6881,99.1844,48.83,98,13,6.15,few clouds
145,Iqaluit,CA,63.7506,-68.5145,17.33,72,75,33.38,light shower snow
146,Kangaatsiaq,GL,68.3065,-53.4641,33.39,67,100,7.14,light snow
147,Kautokeino,NO,69.0125,23.0412,54.75,55,93,10.04,overcast clouds
148,Stornoway,GB,58.2093,-6.3865,49.96,76,40,11.5,scattered clouds
149,Ndele,CF,8.4109,20.6473,73.42,74,100,3.42,overcast clouds
150,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,76.6,88,100,11.92,moderate rain
151,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,37.99,100,100,6.71,overcast clouds
152,Ujkigyos,HU,46.5833,21.0333,71.74,94,100,16.15,heavy intensity rain
153,Leningradskiy,RU,69.3833,178.4167,45.93,67,100,5.99,overcast clouds
154,Galway,IE,53.2719,-9.0489,53.53,84,91,16.96,overcast clouds
155,Komsomolskiy,UZ,40.4272,71.7189,68.72,60,0,4.61,clear sky
156,Maniitsoq,GL,65.4167,-52.9,33.01,66,90,17.27,overcast clouds
157,Half Moon Bay,US,37.4636,-122.4286,99.54,57,40,16.11,scattered clouds
158,Nantucket,US,41.2835,-70.0995,61.09,44,0,12.66,clear sky
159,Norman Wells,CA,65.282,-126.8329,59.04,44,75,9.22,broken clouds
160,Saldanha,ZA,-33.0117,17.9442,60.85,89,0,5.41,clear sky
161,Cayenne,GF,4.9333,-52.3333,86.04,22,20,12.66,few clouds
162,Bethel,US,41.3712,-73.414,75.04,51,0,10.36,clear sky
163,Tura,IN,25.5198,90.2201,72.0,93,64,3.49,broken clouds
164,La Asuncion,VE,11.0333,-63.8628,81.09,76,80,18.41,broken clouds
165,Tiksi,RU,71.6872,128.8694,21.13,92,100,7.72,overcast clouds
166,Lavrentiya,RU,65.5833,-171.0,39.42,85,100,6.98,overcast clouds
167,Geraldton,AU,-28.7667,114.6,59.41,82,100,6.91,overcast clouds
168,Kaeo,NZ,-35.1,173.7833,51.33,94,100,4.25,overcast clouds
169,Luderitz,NA,-26.6481,15.1594,57.42,84,7,7.18,clear sky
170,Kichera,RU,55.9375,110.0997,48.0,60,47,1.79,scattered clouds
171,Temnikov,RU,54.6302,43.2148,38.62,84,91,6.04,overcast clouds
172,Hamilton,US,39.1834,-84.5333,83.71,68,75,12.66,broken clouds
173,Atar,MR,20.5169,-13.0499,99.81,8,98,11.9,overcast clouds
174,Butag,PH,12.6292,123.9335,79.74,86,100,3.58,overcast clouds
175,Kaitangata,NZ,-46.2817,169.8464,40.03,82,96,7.92,overcast clouds
176,Quatre Cocos,MU,-20.2078,57.7625,71.1,71,38,8.99,scattered clouds
177,Tawau,MY,4.2498,117.8871,77.13,89,100,4.65,moderate rain
178,Port-Gentil,GA,-0.7193,8.7815,76.96,83,20,9.22,few clouds
179,Nara,JP,34.6851,135.8049,68.5,65,100,4.21,overcast clouds
180,Anadyr,RU,64.75,177.4833,46.9,65,0,8.95,clear sky
181,Fairbanks,US,64.8378,-147.7164,63.01,45,75,10.36,broken clouds
182,Walvis Bay,NA,-22.9575,14.5053,55.09,94,0,3.44,clear sky
183,Rathdrum,US,47.8137,-116.892,64.8,67,100,5.75,overcast clouds
184,Chuy,UY,-33.6971,-53.4616,59.76,98,100,6.78,moderate rain
185,Nelson Bay,AU,-32.7167,152.15,53.1,98,100,3.11,overcast clouds
186,Dikson,RU,73.5069,80.5464,18.27,94,63,2.91,broken clouds
187,Ayan,RU,56.45,138.1667,39.2,84,100,5.08,overcast clouds
188,Leiyang,CN,26.4024,112.8591,73.02,99,98,2.71,overcast clouds
189,Beloha,MG,-25.1667,45.05,67.77,90,0,2.93,clear sky
190,La Tuque,CA,47.4334,-72.7824,73.65,20,95,4.61,overcast clouds
191,Whyalla,AU,-33.0333,137.5833,56.01,87,4,7.02,clear sky
192,Mmabatho,ZA,-25.85,25.6333,51.76,62,0,3.44,clear sky
193,Harlingen,US,26.1906,-97.6961,87.76,75,75,8.05,broken clouds
194,Lata,PT,40.1629,-8.3327,57.15,82,63,3.56,broken clouds
195,Saint-Georges,GD,12.0564,-61.7485,85.68,70,40,23.02,scattered clouds
196,Hagi,JP,34.4,131.4167,67.55,94,100,6.46,moderate rain
197,Vostok,RU,46.4856,135.8833,50.7,96,93,3.71,overcast clouds
198,Kavaratti,IN,10.5669,72.642,83.43,78,56,10.94,broken clouds
199,Varhaug,NO,58.6147,5.6457,51.48,96,100,15.61,moderate rain
200,Damaturu,NG,11.747,11.9608,90.34,15,5,3.51,clear sky
201,Seddon,AU,-37.8068,144.8916,58.6,83,75,16.11,light rain
202,Labuhan,ID,-6.8844,112.2051,79.93,83,100,3.04,light rain
203,Aksu,CN,41.1231,80.2644,74.95,31,45,8.5,scattered clouds
204,Turayf,SA,31.6725,38.6637,73.65,31,0,11.5,clear sky
205,Bubaque,GW,11.2833,-15.8333,78.1,79,96,14.81,overcast clouds
206,Oranjestad,AW,12.524,-70.027,85.95,70,20,25.32,few clouds
207,Kurchum,KZ,48.5722,83.6542,68.56,67,100,8.41,overcast clouds
208,Sept-Iles,CA,50.2001,-66.3821,66.72,37,75,10.36,broken clouds
209,Sinjar,IQ,36.3209,41.8754,68.97,25,0,7.02,clear sky
210,Tynda,RU,55.1667,124.7167,44.92,95,25,1.97,scattered clouds
211,Saint Anthony,US,45.0205,-93.218,53.22,90,100,11.5,overcast clouds
212,Quesnel,CA,52.9999,-122.5029,64.9,36,20,8.05,few clouds
213,Ancud,CL,-41.8697,-73.8203,45.68,59,4,2.93,clear sky
214,Atasu,KZ,48.6814,71.6433,65.57,36,0,2.86,clear sky
215,Batagay-Alyta,RU,67.8006,130.4114,25.27,85,97,8.61,overcast clouds
216,Darnah,LY,32.767,22.6367,72.14,49,0,2.17,clear sky
217,Gezing,AT,47.9178,13.1299,55.15,88,40,5.75,scattered clouds
218,Ayagoz,KZ,47.9714,80.4392,62.46,73,100,1.77,overcast clouds
219,Berlevag,NO,70.8578,29.0864,51.6,57,0,2.3,clear sky
220,Ambikapur,IN,23.1167,83.2,77.18,32,25,2.06,scattered clouds
221,Chokurdakh,RU,70.6333,147.9167,29.37,88,90,8.28,overcast clouds
222,Ural,RU,55.9078,94.7464,55.35,72,0,5.12,clear sky
223,Asau,RO,46.4333,26.4,63.52,90,23,4.99,few clouds
224,Sokyryany,UA,48.4475,27.4168,60.12,88,39,15.05,scattered clouds
225,Hualmay,PE,-11.0964,-77.6139,67.87,74,27,9.37,scattered clouds
226,Oussouye,SN,12.485,-16.5469,78.98,74,100,11.61,overcast clouds
227,Carlisle,US,40.2015,-77.1889,74.43,49,97,1.01,overcast clouds
228,Nioro,GM,13.35,-15.75,83.37,45,100,13.85,overcast clouds
229,Bilibino,RU,68.0546,166.4372,50.0,58,100,6.42,overcast clouds
230,Mount Gambier,AU,-37.8333,140.7667,55.31,94,75,10.36,broken clouds
231,Dwarka,IN,22.2394,68.9678,82.11,82,7,14.47,clear sky
232,Ailigandi,PA,9.2333,-78.0167,82.8,80,100,5.66,overcast clouds
233,Razdolinsk,RU,58.4211,94.6658,48.31,81,0,6.35,clear sky
234,Lapua,FI,62.9693,23.0088,59.68,82,98,3.91,overcast clouds
235,Bara,NG,10.3744,10.7288,89.33,32,26,5.23,scattered clouds
236,Odweyne,SO,9.4092,45.064,80.4,47,100,16.17,overcast clouds
237,Nouakchott,MR,18.0858,-15.9785,67.93,88,0,17.98,clear sky
238,Turukhansk,RU,65.8167,87.9833,40.78,79,100,10.2,overcast clouds
239,Wabag,PG,-5.4781,143.7021,53.62,98,89,2.19,overcast clouds
240,Vila,PT,42.0304,-8.1588,56.7,63,15,5.03,few clouds
241,Lompoc,US,34.6391,-120.4579,78.53,58,0,12.66,clear sky
242,Sao Filipe,CV,14.8961,-24.4956,72.32,75,0,11.86,clear sky
243,Ayr,GB,55.4627,-4.6339,51.78,76,20,20.71,light rain
244,Alcaudete,ES,37.5909,-4.0824,65.44,34,12,5.79,few clouds
245,Kabelvag,NO,68.2114,14.4817,52.54,87,75,10.36,broken clouds
246,Selcuk,TR,37.9514,27.3685,76.41,64,0,0.69,clear sky
247,Tala,EG,30.6803,30.9429,69.51,63,0,6.69,clear sky
248,Daru,PG,-9.0763,143.2092,78.66,83,98,10.13,overcast clouds
249,Juneau,US,58.3019,-134.4197,53.6,82,40,13.8,scattered clouds
250,Arlit,NE,18.7369,7.3853,89.67,10,66,2.08,broken clouds
251,Grand Gaube,MU,-20.0064,57.6608,71.38,77,31,1.99,scattered clouds
252,Ribeira Grande,PT,38.5167,-28.7,64.8,77,75,8.05,broken clouds
253,Esperance,AU,-33.8667,121.9,57.79,82,100,7.2,overcast clouds
254,Outjo,NA,-20.1167,16.15,59.16,29,0,3.02,clear sky
255,Vaitape,PF,-16.5167,-151.75,80.56,66,6,13.6,clear sky
256,Mastic Beach,US,40.7668,-72.8521,69.04,57,0,12.66,clear sky
257,Alyangula,AU,-13.8483,136.4192,74.35,76,16,6.49,few clouds
258,Kresttsy,RU,58.2452,32.5165,44.64,72,100,3.85,overcast clouds
259,Sorland,NO,67.667,12.6934,48.06,88,96,21.05,overcast clouds
260,Cianjur,ID,-6.8224,107.1393,71.15,94,97,0.63,overcast clouds
261,Menongue,AO,-14.6585,17.691,53.71,46,0,3.76,clear sky
262,Kansk,RU,56.2017,95.7175,55.15,78,1,7.29,clear sky
263,Matias Barbosa,BR,-21.8692,-43.3194,69.48,78,69,3.15,broken clouds
264,Cap Malheureux,MU,-19.9842,57.6142,71.47,77,28,1.99,scattered clouds
265,Cherskiy,RU,68.75,161.3,38.57,79,86,13.6,overcast clouds
266,Cheremshanka,RU,56.1192,60.268,44.65,98,41,4.63,scattered clouds
267,Krasnoarmeysk,RU,51.0239,45.6969,43.18,62,100,5.44,overcast clouds
268,Poum,NC,-20.2333,164.0167,75.87,74,55,7.99,broken clouds
269,Tessalit,ML,20.1986,1.0114,84.18,37,100,22.39,light rain
270,Touros,BR,-5.1989,-35.4608,79.16,79,88,9.01,overcast clouds
271,Ucluelet,CA,48.9329,-125.5528,53.1,86,100,1.99,overcast clouds
272,Gizo,SB,-8.103,156.8419,81.27,78,29,5.99,scattered clouds
273,Arlington,US,32.7357,-97.1081,72.95,51,75,21.85,broken clouds
274,Xichang,CN,27.8964,102.2634,68.56,92,100,3.15,heavy intensity rain
275,Puerto Madryn,AR,-42.7692,-65.0385,50.67,22,0,11.3,clear sky
276,Warrington,GB,53.3925,-2.5802,60.69,70,0,16.11,clear sky
277,Baykit,RU,61.67,96.37,45.41,94,86,4.81,overcast clouds
278,Khuzhir,RU,53.1939,107.3397,46.56,54,0,2.39,clear sky
279,Kamenka,RU,51.3223,42.7678,44.08,66,100,1.72,overcast clouds
280,Pemba,MZ,-12.974,40.5178,79.5,83,40,5.75,scattered clouds
281,Perevoz,RU,55.5961,44.5446,37.67,83,47,7.25,scattered clouds
282,Edremit,TR,39.5961,27.0244,65.95,77,0,2.3,clear sky
283,Alappuzha,IN,9.49,76.3264,80.58,84,13,4.03,few clouds
284,Susangerd,IR,31.5608,48.1831,87.21,16,0,9.33,clear sky
285,Yuzhnyy,RU,53.2542,83.6936,62.98,45,0,11.18,clear sky
286,Kem,RU,64.9555,34.5793,34.59,89,54,5.46,broken clouds
287,Seoul,KR,37.5683,126.9778,56.64,87,20,2.3,few clouds
288,Palana,RU,59.1167,159.9667,40.08,81,100,2.46,overcast clouds
289,Kruisfontein,ZA,-34.0033,24.7314,59.18,81,4,14.72,clear sky
290,Torbay,CA,47.6666,-52.7314,46.89,54,40,10.36,scattered clouds
291,Igarka,RU,67.4667,86.5833,34.86,84,99,11.74,overcast clouds
292,Yongan,CN,39.6957,113.6871,53.47,28,5,1.86,clear sky
293,Svecha,RU,58.2785,47.5164,38.89,97,100,5.66,overcast clouds
294,College,US,64.8569,-147.8028,63.0,45,75,10.36,broken clouds
295,Mildura,AU,-34.2,142.15,51.76,100,75,0.0,broken clouds
296,Tyssedal,NO,60.1165,6.562,51.87,98,100,4.65,overcast clouds
297,Bacolod,PH,10.6667,122.95,79.02,79,59,2.15,broken clouds
298,Egvekinot,RU,66.3167,-179.1667,38.44,81,100,6.11,overcast clouds
299,Estelle,US,29.8458,-90.1067,73.38,94,100,3.44,moderate rain
300,Balingasay,PH,16.3573,119.8564,81.99,80,86,7.7,overcast clouds
301,Port Lincoln,AU,-34.7333,135.8667,57.11,88,8,7.29,clear sky
302,Comodoro Rivadavia,AR,-45.8667,-67.5,46.26,36,0,14.97,clear sky
303,Virginia Beach,US,36.8529,-75.978,62.02,93,100,5.01,overcast clouds
304,Matara,LK,5.9485,80.5353,78.1,90,100,7.63,overcast clouds
305,Butler,US,39.4501,-84.5666,82.54,65,40,13.8,scattered clouds
306,Aksay,RU,47.26,39.87,59.25,75,52,5.99,broken clouds
307,Hargeysa,SO,9.56,44.065,75.4,44,95,11.95,overcast clouds
308,Ca Mau,VN,9.1769,105.15,81.41,79,100,8.9,overcast clouds
309,Nanakuli,US,21.3906,-158.1547,84.15,52,40,11.5,scattered clouds
310,Tual,ID,-5.6667,132.75,81.32,79,99,5.14,overcast clouds
311,Insar,RU,53.8653,44.3738,37.65,84,21,6.71,few clouds
312,Salalah,OM,17.0151,54.0924,84.29,79,20,4.61,few clouds
313,Porto Novo,BJ,6.4965,2.6036,82.22,81,90,6.62,overcast clouds
314,Batemans Bay,AU,-35.7167,150.1833,55.09,86,100,3.89,overcast clouds
315,Mount Isa,AU,-20.7333,139.5,51.57,87,0,0.0,clear sky
316,Pierre,US,44.3683,-100.351,68.86,40,75,4.61,broken clouds
317,Rocha,UY,-34.4833,-54.3333,53.01,95,100,16.22,moderate rain
318,Moen,NO,69.1304,18.6123,59.72,47,75,2.3,broken clouds
319,Fontem,CM,5.4685,9.8818,66.06,95,18,2.01,light rain
320,Cabedelo,BR,-6.9811,-34.8339,75.87,86,100,10.76,light rain
321,Tuatapere,NZ,-46.1333,167.6833,43.18,81,100,1.54,overcast clouds
322,Oxapampa,PE,-10.5775,-75.4017,64.18,91,55,2.8,broken clouds
323,Oistins,BB,13.0667,-59.5333,84.29,70,20,17.27,few clouds
324,Lokosovo,RU,61.1333,74.8167,56.26,68,100,9.13,overcast clouds
325,Zhoucheng,CN,35.9122,116.3117,57.99,40,95,1.23,overcast clouds
326,Brae,GB,60.3964,-1.353,48.87,86,35,18.14,scattered clouds
327,Ensley,US,30.5188,-87.2728,84.09,79,40,14.97,scattered clouds
328,Port Hedland,AU,-20.3167,118.5667,69.85,88,40,6.91,scattered clouds
329,Bandarbeyla,SO,9.4942,50.8122,80.47,85,50,17.49,scattered clouds
330,Airai,TL,-8.9266,125.4092,58.64,94,100,2.55,overcast clouds
331,Ketchikan,US,55.3422,-131.6461,57.67,58,40,12.66,scattered clouds
332,Alice Springs,AU,-23.7,133.8833,49.55,76,40,5.75,scattered clouds
333,Boralday,KZ,43.3578,76.8594,64.26,68,75,4.47,broken clouds
334,Sibolga,ID,1.7427,98.7792,76.59,84,100,3.38,overcast clouds
335,Olafsvik,IS,64.8945,-23.7142,42.46,85,99,7.9,overcast clouds
336,Tambopata,PE,-12.7333,-69.1833,78.69,89,75,2.3,broken clouds
337,Kavieng,PG,-2.5744,150.7967,80.42,77,100,7.4,overcast clouds
338,Takoradi,GH,4.8845,-1.7554,78.96,81,100,6.58,light rain
339,Villefranche-De-Rouergue,FR,44.3333,2.0,57.13,61,9,7.36,clear sky
340,Constitucion,CL,-35.3333,-72.4167,56.82,59,31,14.12,scattered clouds
341,Limbe,CM,4.0242,9.2149,78.46,86,100,5.97,light rain
342,Arona,ES,28.0996,-16.681,63.12,64,40,17.27,scattered clouds
343,Cape Canaveral,US,28.4058,-80.6048,87.08,68,0,14.97,clear sky
344,Salekhard,RU,66.53,66.6019,45.0,64,100,16.44,overcast clouds
345,Ponta Delgada,PT,37.7333,-25.6667,63.32,63,75,8.05,broken clouds
346,Rawson,AR,-43.3002,-65.1023,50.05,24,0,15.7,clear sky
347,Dakar,SN,14.6937,-17.4441,73.53,78,40,11.5,scattered clouds
