City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
450,Jiwani,PK,83.89,clear sky,25.05,61.7417,Hamza hotel jiwani
451,Dingle,PH,78.17,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
456,Pasighat,IN,75.81,overcast clouds,28.0667,95.3333,Siang Guest House
461,Waingapu,ID,77.38,light rain,-9.6567,120.2641,Pondok Wisata Elim
465,Soure,BR,79.84,broken clouds,-0.7167,-48.5233,Casarão da Amazônia
468,Phangnga,TH,82.44,overcast clouds,8.4509,98.5298,Sunimit Mansion
469,Omboue,GA,75.11,scattered clouds,-1.5746,9.2618,Hotel Olako
471,Mlonggo,ID,79.38,overcast clouds,-6.5333,110.7,Asia Metal Art
472,Sao Domingos,BR,80.46,clear sky,-13.3983,-46.3183,Hotel e Restaurante Uirapuru (Márcio uirapuru )Em São Domingos -Go
473,Jieshi,CN,76.23,broken clouds,22.8134,115.8257,Yuehai Hotel
475,Sulangan,PH,83.14,overcast clouds,11.1373,123.7228,Maia's Beach Resort
476,Tototlan,MX,91.54,broken clouds,20.55,-102.8,Tototlan
478,Tahoua,NE,92.35,scattered clouds,14.8888,5.2692,Bungalows Guesthouse
479,Guerrero Negro,MX,76.68,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
480,Meulaboh,ID,77.18,overcast clouds,4.1363,96.1285,Kost Pria
484,La Palma,US,89.65,scattered clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
488,Bol,TD,82.94,clear sky,13.4586,14.7147,Harrouni camp de passage
489,Show Low,US,77.07,clear sky,34.2542,-110.0298,Hampton Inn & Suites Show Low-Pinetop
490,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
494,Juchipila,MX,93.56,clear sky,21.4167,-103.1167,HOTEL JARDIN
497,Navoi,UZ,80.08,broken clouds,40.0844,65.3792,Silk Road Hotel Termez
498,Bentiu,SS,83.37,overcast clouds,9.2333,29.8333,Mandela hôtel
499,Nurota,UZ,76.75,broken clouds,40.5614,65.6886,Guest House Ruslan Nurata & Tours
501,The Valley,AI,84.06,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
503,Dana Point,US,81.97,scattered clouds,33.467,-117.6981,Laguna Cliffs Marriott Resort & Spa
507,Ixtapa,MX,81.63,clear sky,20.7,-105.2,hotel la terminal
510,Marrakesh,MA,82.47,scattered clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
513,Umm Lajj,SA,80.51,clear sky,25.0213,37.2685,Moon light Furnished Units
519,Bonthe,SL,75.94,moderate rain,7.5264,-12.505,Bonthe Holiday Village
523,Samarai,PG,79.05,scattered clouds,-10.6167,150.6667,Nuli Sapi
524,Eravur,LK,79.36,overcast clouds,7.7733,81.6095,Farhan KING House
529,Gunjur,GM,75.27,clear sky,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
534,Tuy Hoa,VN,77.77,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
535,Trairi,BR,79.3,scattered clouds,-3.2778,-39.2689,janelas do mar
536,Sadiqabad,PK,93.43,clear sky,28.3062,70.1307,MIDWAY HOTEL & RESTAURANT
539,Labuan,MY,80.96,few clouds,5.2767,115.2417,Tiara Labuan Hotel
543,Marsh Harbour,BS,79.27,broken clouds,26.5412,-77.0636,Abaco Beach Resort
545,Moerai,PF,76.69,few clouds,-22.4333,-151.3333,Le Manotel
546,Tukrah,LY,76.24,clear sky,32.5341,20.5791,Lagrota restaurant
547,Shahjahanpur,IN,84.99,clear sky,27.8833,79.9167,OYO 37782 Hotel Shree Mahakali Palace
550,Mitsamiouli,KM,80.13,scattered clouds,-11.3847,43.2844,Foyer ADM
551,Presidencia Roque Saenz Pena,AR,85.42,scattered clouds,-26.7852,-60.4388,Hotel Gualok
553,Vilhena,BR,86.22,scattered clouds,-12.7406,-60.1458,Hotel Mirage
564,Porangatu,BR,77.49,clear sky,-13.4408,-49.1486,Wembley Park Hotel
568,Gilbues,BR,81.18,scattered clouds,-9.8317,-45.3439,Hotel Camapuã
576,Gat,IL,77.4,clear sky,31.61,34.7642,OlusHome
577,Santiago Del Estero,AR,77.97,scattered clouds,-27.7951,-64.2615,Apartamentos Castelli 90
580,Ajdabiya,LY,83.53,clear sky,30.7554,20.2263,Almadina Hotel
581,Conceicao Do Araguaia,BR,78.55,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
582,Dharmavaram,IN,86.32,overcast clouds,14.4333,77.7167,BALAJI LODGE
583,Salaga,GH,77.9,moderate rain,8.5508,-0.5188,Bore Nada Guest House
587,Wamba,NG,77.04,light rain,8.9333,8.6,Roma Zee Guest House Annex
589,Saint George,US,92.43,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
596,Greensburg,US,77.0,few clouds,40.3015,-79.5389,Courtyard by Marriott Pittsburgh Greensburg
597,Papetoai,PF,81.99,clear sky,-17.4961,-149.8729,Fare Vaihere
598,Tomatlan,MX,91.92,clear sky,19.9333,-105.25,El Salvial
600,Bilma,NE,91.9,clear sky,18.6853,12.9164,Expeditions Ténére voyages
608,Santa Cruz,BO,86.05,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
610,Jabinyanah,TN,84.0,scattered clouds,35.035,10.9081,maison belmabrouk
612,Eyl,SO,80.22,scattered clouds,7.9803,49.8164,Amiin Hotel
619,Coruripe,BR,76.19,light rain,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
623,Hami,CN,78.53,overcast clouds,42.8,93.45,Laoyutang Resort
628,Pochutla,MX,86.83,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
630,Zafarwal,PK,83.43,clear sky,32.3463,74.8999,Jaafri Chowk
